Form,Roman,Pattern,Noun_Place_Time,Passive_Participle,Active_Participle,Masdar,Passive_Perfect,Passive_Imperfect,Imperative,Active_Imperfect,Active_Perfect,Meaning
1,I,فَعَلَ,—,—,—,—,—,—,—,—,ضَرَبَ,REGULAR
2,II,فَعَّلَ,—,—,—,—,—,—,—,—,ضَرَّب,CAUSATIVE/INTENSIVE OR DENOMINATIVE
3,III,فَاعَلَ,—,—,—,—,—,—,—,—,ضَارَب,RECIPROCAL
4,IV,أَفْعَلَ,—,—,—,—,—,—,—,—,اَضْرَبا,CAUSATIVE
5,V,تَفَعَّلَ,—,—,—,—,—,—,—,—,تَضَرَّبا,REFLEXIVE OF II
6,VI,تَفَاعَلَ,—,—,—,—,—,—,—,—,تَضارَبا,REFLEXIVE OF III
7,VII,اِنْفَعَلَ,—,—,—,—,—,—,—,—,ٱِنْضَرَبا,PASSIVE OF I
8,VIII,اِفْتَعَلَ,—,—,—,—,—,—,—,—,ٱِفْضَرَبا,REFLEXIVE OF I
9,IX,اِفْعَلَّ,—,—,—,—,—,—,—,—,—,COLORS DEFECTS
10,X,اِسْتَفْعَلَ,—,—,—,—,—,—,—,—,ٱِسْتَضْرَبا,CAUSATIVE REFLEXIVE
